t,avg_cAMP,avg_Ca,avg_Ca_ER,avg_ATP,PKA_frac,avg_pSer845,avg_I1P,avg_pSer831,CaMKII_p_frac,min_cAMP,max_cAMP,gradient_index,stimulus,neck_avg_cAMP,head_avg_cAMP,head_neck_ratio
1.360000,0.364335,0.141738,198.259001,1996.140441,0.597883,0.634758,0.137909,0.967760,0.913577,0.006658,1996.142790,5478.851470,1.000000,nan,nan,nan
1.380000,0.364667,0.142321,198.237725,1996.151199,0.598085,0.640931,0.139784,0.969752,0.915641,0.006618,1996.153547,5473.883731,1.000000,nan,nan,nan
1.400000,0.364958,0.142903,198.216577,1996.161925,0.598263,0.646997,0.141644,0.971613,0.917618,0.006579,1996.164273,5469.556858,1.000000,nan,nan,nan
1.420000,0.365207,0.143483,198.195554,1996.172631,0.598418,0.652957,0.143491,0.973352,0.919511,0.006540,1996.174977,5465.850781,1.000000,nan,nan,nan
1.440000,0.365417,0.144063,198.174659,1996.183327,0.598552,0.658812,0.145323,0.974977,0.921327,0.006500,1996.185672,5462.746567,1.000000,nan,nan,nan
1.460000,0.365587,0.144642,198.153890,1996.194022,0.598663,0.664565,0.147141,0.976495,0.923070,0.006462,1996.196365,5460.226329,1.000000,nan,nan,nan
1.480000,0.365720,0.145219,198.133248,1996.204727,0.598755,0.670218,0.148945,0.977913,0.924743,0.006423,1996.207069,5458.273160,1.000000,nan,nan,nan
1.500000,0.365816,0.145795,198.112731,1996.215451,0.598826,0.675770,0.150734,0.979239,0.926350,0.006385,1996.217791,5456.871055,1.000000,nan,nan,nan
1.520000,0.365876,0.146370,198.092341,1996.226203,0.598877,0.681226,0.152510,0.980477,0.927896,0.006347,1996.228541,5456.004860,1.000000,nan,nan,nan
1.540000,0.365901,0.146944,198.072077,1996.236993,0.598909,0.686584,0.154272,0.981634,0.929382,0.006309,1996.239329,5455.660202,1.000000,nan,nan,nan
1.560000,0.365892,0.147517,198.051938,1996.247830,0.598923,0.691849,0.156020,0.982715,0.930812,0.006271,1996.250163,5455.823445,1.000000,nan,nan,nan
1.580000,0.365850,0.148088,198.031925,1996.258722,0.598919,0.697020,0.157754,0.983726,0.932190,0.006234,1996.261052,5456.481633,1.000000,nan,nan,nan
1.600000,0.365776,0.148658,198.012037,1996.269676,0.598898,0.702099,0.159474,0.984669,0.933517,0.006197,1996.272004,5457.622455,1.000000,nan,nan,nan
1.620000,0.365670,0.149227,197.992275,1996.280703,0.598859,0.707088,0.161181,0.985551,0.934797,0.006160,1996.283028,5459.234199,1.000000,nan,nan,nan
1.640000,0.365533,0.149795,197.972637,1996.291809,0.598803,0.711989,0.162874,0.986375,0.936031,0.006123,1996.294131,5461.305715,1.000000,nan,nan,nan
1.660000,0.365367,0.150361,197.953124,1996.303003,0.598732,0.716802,0.164553,0.987146,0.937222,0.006087,1996.305321,5463.826379,1.000000,nan,nan,nan
1.680000,0.365171,0.150925,197.933735,1996.314291,0.598644,0.721530,0.166218,0.987865,0.938371,0.006050,1996.316605,5466.786062,1.000000,nan,nan,nan
1.700000,0.364947,0.151489,197.914470,1996.325681,0.598541,0.726173,0.167870,0.988538,0.939482,0.006014,1996.327992,5470.175100,1.000000,nan,nan,nan
1.720000,0.364695,0.152050,197.895330,1996.337181,0.598423,0.730734,0.169509,0.989166,0.940555,0.005978,1996.339488,5473.984266,1.000000,nan,nan,nan
1.740000,0.364416,0.152610,197.876313,1996.348797,0.598289,0.735213,0.171134,0.989754,0.941593,0.005943,1996.351100,5478.204746,1.000000,nan,nan,nan
1.760000,0.364111,0.153169,197.857419,1996.360537,0.598141,0.739612,0.172746,0.990303,0.942597,0.005907,1996.362836,5482.828114,1.000000,nan,nan,nan
1.780000,0.363780,0.153726,197.838649,1996.372406,0.597979,0.743932,0.174344,0.990816,0.943568,0.005872,1996.374700,5487.846310,1.000000,nan,nan,nan
1.800000,0.363424,0.154282,197.820001,1996.384411,0.597803,0.748175,0.175930,0.991296,0.944508,0.005837,1996.386701,5493.251621,1.000000,nan,nan,nan
1.820000,0.363044,0.154836,197.801476,1996.396558,0.597613,0.752342,0.177502,0.991744,0.945419,0.005802,1996.398844,5499.036658,1.000000,nan,nan,nan
1.840000,0.362640,0.155388,197.783074,1996.408854,0.597410,0.756433,0.179061,0.992163,0.946301,0.005768,1996.411135,5505.194343,1.000000,nan,nan,nan
